City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Villa Carlos Paz,AR,81.39,light rain,-31.4241,-64.4978,Monte Carlo vcp
269,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
271,Barranca,PE,75.16,few clouds,-10.75,-77.7667,El Olivar Hospedaje
275,Pemangkat,ID,76.6,overcast clouds,1.1667,108.9667,Ramah Kost KITA
277,Maracacume,BR,79.72,light rain,-2.0428,-45.9592,Hotel Ramos
278,Buala,SB,78.76,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
283,Gboko,NG,84.88,clear sky,7.3179,8.9951,Mavillah Apartment and Suites
288,Kapoeta,SS,86.49,overcast clouds,4.7717,33.5903,Eastgate Hotel
293,Puerto Colombia,CO,89.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
294,Arica,CL,80.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
297,Nieuw Amsterdam,SR,80.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
298,Saint-Philippe,RE,80.15,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
299,Salinopolis,BR,82.99,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
300,Manokwari,ID,76.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
301,Palmas De Monte Alto,BR,81.91,overcast clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
304,Nouadhibou,MR,85.98,dust,20.931,-17.0347,El Medina
309,Bonthe,SL,83.62,clear sky,7.5264,-12.505,Bonthe Holiday Village
311,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
315,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
316,Labuhan,ID,76.84,overcast clouds,-6.8844,112.2051,DoubleFAG
321,Fare,PF,80.62,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
326,Cururupu,BR,83.35,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
331,Chilca,PE,80.08,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
332,Puerto Escondido,MX,83.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
335,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
336,Omboue,GA,77.32,overcast clouds,-1.5746,9.2618,Hotel Olako
