City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,25.32,moderate rain
147,Laukaa,RU,58.7372,29.8453,11.77,98,97,2.15,overcast clouds
148,Obihiro,JP,42.9172,143.2044,7.59,89,20,4.14,few clouds
149,Berlevag,NO,70.8578,29.0864,22.95,74,75,6.91,light snow
150,Leningradskiy,RU,69.3833,178.4167,-12.91,85,22,9.01,few clouds
151,Vardo,NO,70.3705,31.1107,22.98,86,75,10.36,light snow
152,Hilo,US,19.7297,-155.09,72.39,69,40,8.05,scattered clouds
153,Port Hawkesbury,CA,45.6169,-61.3485,46.0,98,100,8.01,mist
154,Kodiak,US,57.79,-152.4072,38.71,93,100,17.27,light rain
155,Nanortalik,GL,60.1432,-45.2371,29.86,69,100,17.16,light snow
156,Kelo,TD,9.3086,15.8066,79.57,13,6,5.73,clear sky
157,Chuy,UY,-33.6971,-53.4616,86.58,56,47,9.93,scattered clouds
158,Qaqortoq,GL,60.7167,-46.0333,23.5,94,100,17.07,light snow
159,Svetlogorsk,BY,52.6333,29.7333,21.11,94,100,8.61,overcast clouds
160,Yerbogachen,RU,61.2767,108.0108,-2.07,100,96,2.73,overcast clouds
161,Victoria,HK,22.2855,114.1577,56.32,81,100,1.01,overcast clouds
162,Pachino,IT,36.7186,15.0907,46.44,58,0,11.5,clear sky
163,Yar-Sale,RU,66.8333,70.8333,-15.97,100,52,5.77,broken clouds
164,Micheweni,TZ,-4.9667,39.8333,80.82,82,100,15.46,overcast clouds
165,Hovd,MN,48.0056,91.6419,-8.75,91,79,3.31,broken clouds
166,Fortuna,US,40.5982,-124.1573,49.93,82,75,1.99,broken clouds
167,Sao Filipe,CV,14.8961,-24.4956,75.2,68,0,7.65,clear sky
168,Sao Jose De Ribamar,BR,-2.5619,-44.0542,88.18,73,80,11.18,broken clouds
169,Tallahassee,US,30.4383,-84.2807,77.47,77,100,5.01,overcast clouds
170,Tomatlan,MX,19.9333,-105.25,82.44,33,18,5.7,few clouds
171,Saint-Augustin,CA,51.226,-58.6502,33.51,99,100,18.97,light snow
172,Muravlenko,RU,63.7898,74.523,11.84,97,94,9.15,overcast clouds
173,Tasiilaq,GL,65.6145,-37.6368,14.16,58,56,7.31,broken clouds
174,Uptar,RU,59.75,150.9167,-5.53,74,85,9.01,overcast clouds
175,Guerrero Negro,MX,27.9769,-114.0611,57.96,28,0,2.17,clear sky
176,Linxia,CN,35.6003,103.2064,16.97,80,82,2.53,broken clouds
177,Itupeva,BR,-23.1531,-47.0578,82.13,61,40,2.3,scattered clouds
178,Udachnyy,RU,66.4167,112.4,-26.07,100,95,2.04,overcast clouds
179,Qaanaaq,GL,77.484,-69.3632,-14.4,64,92,8.12,overcast clouds
180,Baoqing,CN,46.3317,132.2111,-7.26,94,82,5.41,broken clouds
181,Jiancheng,CN,30.391,104.5491,43.81,78,99,3.11,overcast clouds
182,Te Anau,NZ,-45.4167,167.7167,47.25,97,100,3.56,moderate rain
183,Hirara,JP,24.8,125.2833,68.43,76,96,19.28,overcast clouds
184,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,9.22,light snow
185,Ennis,IE,52.8436,-8.9864,52.07,87,75,19.57,moderate rain
186,Ahipara,NZ,-35.1667,173.1667,69.57,90,88,12.57,overcast clouds
187,Ios,GR,36.7333,25.2833,51.04,52,100,32.01,overcast clouds
188,Port Alfred,ZA,-33.5906,26.891,72.46,80,86,17.2,overcast clouds
189,Kapuskasing,CA,49.4169,-82.4331,-7.51,49,0,4.61,clear sky
190,Saskylakh,RU,71.9167,114.0833,-23.58,99,100,1.23,overcast clouds
191,La Ronge,CA,55.1001,-105.2842,-21.75,57,40,5.75,scattered clouds
192,Pudozh,RU,61.8099,36.5345,-4.7,100,96,0.96,overcast clouds
193,Hun,LY,29.1268,15.9477,56.68,46,5,9.31,clear sky
194,Fulnek,CZ,49.7124,17.9032,39.25,60,0,12.66,clear sky
195,Sorong,ID,-0.8833,131.25,80.42,78,100,4.5,overcast clouds
196,Calvinia,ZA,-31.4707,19.776,67.89,55,0,11.77,clear sky
197,Nuuk,GL,64.1835,-51.7216,23.61,93,100,9.22,light snow
198,Saint-Francois,FR,46.4154,3.9054,44.04,87,0,6.91,clear sky
199,Ilulissat,GL,69.2167,-51.1,17.62,45,75,25.32,broken clouds
200,Nemuro,JP,43.3236,145.575,20.8,77,31,14.61,scattered clouds
201,Carauari,BR,-4.8828,-66.8958,82.9,77,98,4.27,overcast clouds
202,Ismailia,EG,30.6043,32.2723,56.32,48,10,20.67,clear sky
203,Weihe,CN,32.9952,105.3247,30.79,83,93,3.83,overcast clouds
204,Cherskiy,RU,68.75,161.3,-28.19,99,32,0.98,scattered clouds
205,Todos Santos,MX,23.45,-110.2167,73.2,54,40,6.15,scattered clouds
206,Hithadhoo,MV,-0.6,73.0833,81.75,70,95,4.36,overcast clouds
207,Hearst,CA,49.6835,-83.6665,-7.35,75,32,7.16,scattered clouds
208,Asau,RO,46.4333,26.4,29.32,79,100,1.59,overcast clouds
209,Qatana,SY,33.4354,36.0815,50.56,61,3,5.12,clear sky
210,Kribi,CM,2.95,9.9167,80.51,75,91,8.28,overcast clouds
211,Mountain Home,US,43.133,-115.6912,26.94,100,100,6.91,overcast clouds
212,Fort Nelson,CA,58.8053,-122.7002,-15.21,70,75,2.3,light snow
213,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,95,11.5,overcast clouds
214,Atar,MR,20.5169,-13.0499,84.16,7,2,12.35,clear sky
215,Jumla,NP,29.2747,82.1838,35.02,96,100,7.99,snow
216,Mandera,KE,3.9366,41.867,88.59,26,22,9.35,few clouds
217,Alice Springs,AU,-23.7,133.8833,58.55,82,96,6.91,overcast clouds
218,Doka,SD,13.5167,35.7667,85.98,19,68,14.7,broken clouds
219,Torbay,CA,47.6666,-52.7314,35.38,76,75,23.02,broken clouds
220,Beni,CD,0.5,29.4667,70.27,50,97,2.68,overcast clouds
221,Vawkavysk,BY,53.1561,24.4513,19.67,98,64,4.41,broken clouds
222,Akalkot,IN,17.5333,76.2167,75.06,29,11,10.98,few clouds
223,Yaviza,PA,8.1537,-77.6931,90.45,52,66,3.06,broken clouds
224,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,86,100,26.46,overcast clouds
225,Le Vauclin,MQ,14.5452,-60.8388,86.05,51,75,13.8,broken clouds
226,Samana,DO,19.2056,-69.3369,73.36,100,100,4.61,overcast clouds
227,Cayenne,GF,4.9333,-52.3333,78.84,90,75,1.99,light rain
228,Salalah,OM,17.0151,54.0924,75.29,73,20,0.0,few clouds
229,San Patricio,US,28.017,-97.5169,41.02,78,100,19.84,overcast clouds
230,Diapaga,BF,12.0708,1.7889,78.44,8,6,6.31,clear sky
231,Sistranda,NO,63.7256,8.834,33.76,69,100,19.13,overcast clouds
232,Rawson,AR,-43.3002,-65.1023,77.49,40,64,8.86,broken clouds
233,Seoul,KR,37.5683,126.9778,24.24,66,0,2.3,clear sky
234,Coronado,US,32.6859,-117.1831,64.96,24,0,4.61,clear sky
235,Xai-Xai,MZ,-25.0519,33.6442,79.93,72,0,12.55,clear sky
236,Warrington,GB,53.3925,-2.5802,52.32,80,40,5.01,scattered clouds
237,Darnah,LY,32.767,22.6367,52.56,72,100,30.56,overcast clouds
238,Baracoa,CU,20.3467,-74.4958,75.9,83,64,11.74,broken clouds
239,Kamenka,RU,51.3223,42.7678,32.76,100,100,5.66,snow
240,Abu Dhabi,AE,24.4667,54.3667,69.96,74,0,4.61,clear sky
241,Faanui,PF,-16.4833,-151.75,80.04,77,100,18.41,overcast clouds
242,Half Moon Bay,US,37.4636,-122.4286,61.54,64,0,8.05,mist
243,Pevek,RU,69.7008,170.3133,-14.42,86,30,1.61,scattered clouds
244,Fukuma,JP,33.7667,130.4667,39.2,47,100,8.37,overcast clouds
245,Caravelas,BR,-17.7125,-39.2481,83.91,62,88,8.9,overcast clouds
246,Beloha,MG,-25.1667,45.05,74.08,86,26,17.94,scattered clouds
247,Kasungu,MW,-13.0333,33.4833,66.96,93,24,3.27,few clouds
248,Deputatskiy,RU,69.3,139.9,-24.16,95,97,1.54,overcast clouds
249,Taquaritinga Do Norte,BR,-7.9031,-36.0442,83.66,38,100,11.23,overcast clouds
250,Viedma,AR,-40.8135,-62.9967,87.91,23,1,13.31,clear sky
251,Saint-Pierre,RE,-21.3393,55.4781,80.24,94,75,37.98,heavy intensity rain
252,Kaarina,FI,60.4072,22.369,20.77,92,0,3.44,clear sky
253,Palm Desert,US,33.7222,-116.3745,63.73,14,0,1.01,clear sky
254,Neiafu,TO,-18.65,-173.9833,80.24,83,100,24.65,moderate rain
255,Hyeres,FR,43.1167,6.1167,55.69,87,0,3.44,clear sky
256,Kudahuvadhoo,MV,2.6708,72.8944,81.55,72,100,5.3,overcast clouds
257,Sylacauga,US,33.1732,-86.2516,65.08,91,100,11.5,overcast clouds
258,Odweyne,SO,9.4092,45.064,65.77,40,10,10.74,clear sky
259,Emerald,AU,-23.5333,148.1667,73.54,83,40,6.91,scattered clouds
260,Acapulco,MX,16.8634,-99.8901,85.82,54,0,3.44,clear sky
261,Gayny,RU,60.3071,54.3241,5.83,100,100,3.29,overcast clouds
262,Kushima,JP,31.4583,131.2333,41.97,86,93,6.08,overcast clouds
263,Broome,US,42.2506,-75.833,38.01,85,100,3.0,mist
264,Yichang,CN,30.7144,111.2847,38.71,57,71,1.61,broken clouds
265,Castro,BR,-24.7911,-50.0119,75.09,78,76,3.67,broken clouds
266,Sola,VU,-13.8833,167.55,77.79,89,100,15.28,overcast clouds
267,Villa Carlos Paz,AR,-31.4241,-64.4978,81.39,54,31,6.35,light rain
268,Leh,IN,34.1667,77.5833,10.33,98,100,2.53,light snow
269,Waingapu,ID,-9.6567,120.2641,78.94,84,89,10.6,overcast clouds
270,Lebu,CL,-37.6167,-73.65,64.33,80,100,13.89,overcast clouds
271,Barranca,PE,-10.75,-77.7667,75.16,69,20,12.37,few clouds
272,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,27.63,heavy snow
273,Port Macquarie,AU,-31.4333,152.9167,64.29,94,40,16.11,light rain
274,Narsaq,GL,60.9167,-46.05,23.22,97,100,8.81,snow
275,Pemangkat,ID,1.1667,108.9667,76.6,90,100,7.87,overcast clouds
276,Veisiejai,LT,54.1,23.7,26.06,98,100,4.9,overcast clouds
277,Maracacume,BR,-2.0428,-45.9592,79.72,89,100,4.79,light rain
278,Buala,SB,-8.145,159.5921,78.76,87,100,10.67,moderate rain
279,Fulton,US,33.7668,-84.4499,63.97,86,100,1.01,light rain
280,Khatanga,RU,71.9667,102.5,-33.59,100,35,2.91,scattered clouds
281,Peniche,PT,39.3558,-9.3811,57.09,80,97,4.5,overcast clouds
282,Nusaybin,TR,37.0778,41.2178,51.39,62,75,6.91,light rain
283,Gboko,NG,7.3179,8.9951,84.88,14,10,6.98,clear sky
284,Husavik,IS,66.0449,-17.3389,17.51,92,100,21.12,light snow
285,Ribeira Grande,PT,38.5167,-28.7,61.2,67,20,17.27,few clouds
286,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,68,75,8.95,broken clouds
287,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,-22.83,99,34,3.44,scattered clouds
288,Kapoeta,SS,4.7717,33.5903,86.49,29,100,2.95,overcast clouds
289,Wajima,JP,37.4,136.9,35.28,84,100,10.87,light snow
290,Chapais,CA,49.7834,-74.8492,-6.02,75,100,7.47,overcast clouds
291,Mount Gambier,AU,-37.8333,140.7667,57.11,67,100,6.91,overcast clouds
292,Muros,ES,42.7762,-9.0603,55.69,89,100,5.64,overcast clouds
293,Puerto Colombia,CO,10.9878,-74.9547,89.69,72,0,20.76,clear sky
294,Arica,CL,-18.475,-70.3042,80.15,67,2,9.82,clear sky
295,Aktau,KZ,43.65,51.2,46.98,62,43,18.37,scattered clouds
296,Marietta,US,33.9526,-84.5499,62.76,96,100,4.61,mist
297,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,84,40,6.91,scattered clouds
298,Saint-Philippe,RE,-21.3585,55.7679,80.15,93,100,39.48,heavy intensity rain
299,Salinopolis,BR,-0.6136,-47.3561,82.99,71,79,11.97,broken clouds
